<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.12.22	19:40:00	65275	65288	65223	65251	1027	0	19
2025.12.22	19:45:00	65217	65320	65216	65317	1368	0	19
2025.12.22	19:50:00	65317	65335	65287	65314	1043	0	19
2025.12.22	19:55:00	65312	65335	65293	65331	844	0	19
2025.12.22	20:00:00	65331	65343	65300	65317	804	0	19
2025.12.22	20:05:00	65308	65319	65268	65288	947	0	19
2025.12.22	20:10:00	65294	65317	65260	65299	808	0	19
2025.12.22	20:15:00	65295	65335	65293	65306	1051	0	19
2025.12.22	20:20:00	65308	65347	65285	65338	1299	0	19
2025.12.22	20:25:00	65341	65349	65275	65314	1783	0	20
2025.12.22	20:30:00	65312	65354	65301	65337	1138	0	19
2025.12.22	20:35:00	65337	65341	65295	65318	968	0	19
2025.12.22	20:40:00	65310	65323	65271	65283	1169	0	19
2025.12.22	20:45:00	65291	65303	65233	65237	1116	0	19
2025.12.22	20:50:00	65237	65319	65235	65311	1241	0	19
2025.12.22	20:55:00	65313	65337	65271	65305	1167	0	19
2025.12.22	21:00:00	65318	65328	65232	65289	1230	0	19
2025.12.22	21:05:00	65291	65296	65222	65263	1627	0	19
2025.12.22	21:10:00	65273	65282	65194	65234	914	0	19
2025.12.22	21:15:00	65244	65267	65203	65248	1416	0	19
2025.12.22	21:20:00	65246	65264	65230	65247	1026	0	20
2025.12.22	21:25:00	65245	65285	65228	65267	1021	0	19
2025.12.22	21:30:00	65277	65299	65220	65275	1054	0	19
2025.12.22	21:35:00	65285	65298	65240	65278	820	0	19
2025.12.22	21:40:00	65282	65296	65266	65291	621	0	19
2025.12.22	21:45:00	65291	65308	65253	65299	939	0	19
2025.12.22	21:50:00	65295	65298	65277	65290	745	0	19
2025.12.22	21:55:00	65292	65298	65268	65291	873	0	20
2025.12.22	22:00:00	65287	65332	65274	65327	1408	0	19
2025.12.22	22:05:00	65289	65375	65280	65357	1104	0	19
2025.12.22	22:10:00	65359	65366	65307	65365	901	0	19
2025.12.22	22:15:00	65354	65368	65292	65299	1183	0	19
2025.12.22	22:20:00	65297	65313	65238	65270	1281	0	20
2025.12.22	22:25:00	65272	65302	65245	65285	1096	0	19
2025.12.22	22:30:00	65282	65310	65267	65287	1037	0	19
2025.12.22	22:35:00	65283	65322	65227	65314	1120	0	19
2025.12.22	22:40:00	65316	65322	65260	65308	1064	0	19
2025.12.22	22:45:00	65310	65356	65266	65344	840	0	19
2025.12.22	22:50:00	65346	65383	65325	65370	1027	0	19
2025.12.22	22:55:00	65334	65388	65315	65360	1547	0	19
2025.12.22	23:00:00	65365	65434	65362	65424	1080	0	20
2025.12.22	23:05:00	65426	65436	65386	65405	888	0	21
2025.12.22	23:10:00	65405	65432	65395	65414	728	0	19
2025.12.22	23:15:00	65426	65435	65411	65413	585	0	23
2025.12.22	23:20:00	65430	65431	65398	65408	806	0	22
2025.12.22	23:25:00	65425	65519	65420	65485	753	0	19
2025.12.22	23:30:00	65490	65514	65449	65478	814	0	23
2025.12.22	23:35:00	65474	65489	65426	65458	710	0	21
2025.12.22	23:40:00	65445	65475	65409	65450	907	0	49
2025.12.22	23:45:00	65458	65472	65412	65454	701	0	44
2025.12.22	23:50:00	65454	65466	65419	65430	480	0	22
2025.12.22	23:55:00	65444	65451	65417	65422	522	0	87
2025.12.23	00:00:00	65426	65435	65416	65416	9	0	101
2025.12.23	00:05:00	65416	65416	65416	65416	5	0	124
2025.12.23	00:10:00	65416	65416	65416	65416	5	0	124
2025.12.23	00:15:00	65416	65416	65344	65344	2	0	125
2025.12.23	00:20:00	65395	65395	65344	65344	11	0	146
2025.12.23	00:25:00	65334	65334	65334	65334	1	0	265
2025.12.23	00:30:00	65392	65392	65334	65334	2	0	168
2025.12.23	00:35:00	65357	65395	65327	65338	14	0	154
2025.12.23	00:40:00	65395	65395	65338	65338	13	0	137
2025.12.23	00:45:00	65395	65395	65338	65338	2	0	139
2025.12.23	00:50:00	65395	65395	65338	65338	2	0	139
2025.12.23	00:55:00	65329	65395	65329	65332	9	0	130
2025.12.23	01:00:00	65311	65501	65311	65455	15	0	91
2025.12.23	01:05:00	65455	65501	65455	65455	12	0	81
2025.12.23	01:10:00	65467	65532	65467	65482	34	0	14
2025.12.23	01:15:00	65482	65605	65463	65579	15	0	13
2025.12.23	01:20:00	65579	65615	65579	65581	13	0	14
2025.12.23	01:25:00	65573	65583	65571	65581	26	0	51
2025.12.23	01:30:00	65579	65602	65546	65602	14	0	43
2025.12.23	01:35:00	65605	65611	65567	65583	22	0	16
2025.12.23	01:40:00	65594	65611	65573	65583	20	0	13
2025.12.23	01:45:00	65579	65591	65566	65581	33	0	15
2025.12.23	01:50:00	65581	65585	65566	65568	27	0	15
2025.12.23	01:55:00	65543	65589	65543	65568	19	0	13
2025.12.23	02:00:00	65585	65604	65564	65583	46	0	23
2025.12.23	02:05:00	65666	65713	65649	65674	1442	0	19
2025.12.23	02:10:00	65672	65708	65637	65697	989	0	19
2025.12.23	02:15:00	65701	65743	65680	65741	970	0	9
2025.12.23	02:20:00	65697	65731	65632	65682	943	0	11
2025.12.23	02:25:00	65699	65729	65616	65728	803	0	9
2025.12.23	02:30:00	65732	65759	65644	65727	796	0	9
2025.12.23	02:35:00	65723	65741	65624	65718	787	0	9
2025.12.23	02:40:00	65735	65753	65641	65731	654	0	9
2025.12.23	02:45:00	65746	65761	65643	65747	605	0	9
2025.12.23	02:50:00	65742	65764	65638	65745	807	0	19
2025.12.23	02:55:00	65743	65762	65643	65757	896	0	9
2025.12.23	03:00:00	65760	65911	65713	65863	3383	0	11
2025.12.23	03:05:00	65865	65931	65796	65928	2534	0	9
2025.12.23	03:10:00	65926	66001	65916	65984	2961	0	19
2025.12.23	03:15:00	65986	65996	65777	65918	2814	0	12
2025.12.23	03:20:00	65921	65947	65694	65810	2999	0	13
2025.12.23	03:25:00	65803	65951	65795	65888	2499	0	9
2025.12.23	03:30:00	65885	65991	65880	65950	2283	0	20
2025.12.23	03:35:00	65954	66013	65945	65984	2086	0	9
2025.12.23	03:40:00	65986	66017	65872	65970	1685	0	19
2025.12.23	03:45:00	65970	66022	65889	65962	2035	0	11
2025.12.23	03:50:00	65960	66023	65874	66013	1677	0	12
2025.12.23	03:55:00	66011	66057	65981	66001	1652	0	10
2025.12.23	04:00:00	66001	66008	65909	65963	1895	0	9
2025.12.23	04:05:00	65965	66029	65866	65983	1803	0	9
2025.12.23	04:10:00	65985	66015	65967	65983	2048	0	19
2025.12.23	04:15:00	65970	66048	65908	66028	1095	0	9
2025.12.23	04:20:00	66035	66035	65911	65992	1102	0	14
2025.12.23	04:25:00	65999	66018	65952	66008	840	0	10
2025.12.23	04:30:00	66006	66126	65921	66077	2124	0	11
2025.12.23	04:35:00	66054	66127	66027	66078	1660	0	19
2025.12.23	04:40:00	66080	66150	66060	66124	1641	0	10
2025.12.23	04:45:00	66126	66131	65968	66025	1748	0	9
2025.12.23	04:50:00	66023	66066	66000	66048	1497	0	19
2025.12.23	04:55:00	66050	66098	66019	66096	1532	0	19
2025.12.23	05:00:00	66089	66134	66017	66071	1866	0	9
2025.12.23	05:05:00	66063	66080	66001	66039	2237	0	20
2025.12.23	05:10:00	66018	66051	65955	66004	2689	0	19
2025.12.23	05:15:00	66006	66054	65924	65962	1982	0	19
2025.12.23	05:20:00	65964	66004	65876	65983	2028	0	11
2025.12.23	05:25:00	65978	66018	65924	66001	2071	0	19
2025.12.23	05:30:00	65995	66009	65925	65998	1709	0	19
2025.12.23	05:35:00	65987	66034	65950	66032	2139	0	19
2025.12.23	05:40:00	66030	66054	66001	66021	1582	0	19
2025.12.23	05:45:00	66024	66260	66020	66112	1472	0	19
2025.12.23	05:50:00	66109	66137	66078	66090	1690	0	19
2025.12.23	05:55:00	66096	66125	66078	66115	1162	0	19
2025.12.23	06:00:00	66100	66117	66052	66082	956	0	10
2025.12.23	06:05:00	66091	66130	65999	66083	1168	0	19
2025.12.23	06:10:00	66064	66122	66044	66091	1100	0	19
2025.12.23	06:15:00	66089	66119	66077	66107	823	0	19
2025.12.23	06:20:00	66112	66116	66070	66099	961	0	19
2025.12.23	06:25:00	66103	66134	66047	66125	747	0	11
2025.12.23	06:30:00	66129	66145	66024	66106	1145	0	19
2025.12.23	06:35:00	66106	66136	66008	66108	1080	0	19
2025.12.23	06:40:00	66106	66142	66085	66103	1381	0	19
2025.12.23	06:45:00	66105	66110	66050	66078	1559	0	19
2025.12.23	06:50:00	66080	66092	65961	66061	2503	0	9
2025.12.23	06:55:00	66059	66093	65957	66046	1528	0	13
2025.12.23	07:00:00	66048	66076	65965	66069	1369	0	19
2025.12.23	07:05:00	66071	66093	66019	66062	1477	0	9
2025.12.23	07:10:00	66064	66074	65987	66018	1719	0	12
2025.12.23	07:15:00	66020	66032	65893	65974	1718	0	10
2025.12.23	07:20:00	65896	65999	65880	65982	2006	0	19
2025.12.23	07:25:00	65989	66026	65916	66021	1402	0	20
2025.12.23	07:30:00	66024	66095	65959	66054	2621	0	20
2025.12.23	07:35:00	66052	66093	65973	66093	1965	0	19
2025.12.23	07:40:00	66095	66096	65965	66044	1911	0	19
2025.12.23	07:45:00	66042	66070	65977	66049	1886	0	9
2025.12.23	07:50:00	66040	66067	65984	66033	1783	0	13
2025.12.23	07:55:00	66033	66061	65974	65999	1538	0	19
2025.12.23	08:00:00	66000	66030	65906	66019	2044	0	9
2025.12.23	08:05:00	66023	66036	65916	65993	1614	0	14
2025.12.23	08:10:00	65963	66006	65881	65957	1988	0	19
2025.12.23	08:15:00	65955	66011	65943	65997	1509	0	19
2025.12.23	08:20:00	65995	66030	65886	65927	1708	0	9
2025.12.23	08:25:00	65913	65997	65873	65995	1237	0	20
2025.12.23	08:30:00	65997	66024	65945	66018	1756	0	19
2025.12.23	08:35:00	66020	66040	65919	66028	1834	0	20
2025.12.23	08:40:00	66026	66048	65914	66008	1760	0	19
2025.12.23	08:45:00	66006	66048	65915	66026	1606	0	19
2025.12.23	08:50:00	66047	66063	65932	66011	1844	0	19
2025.12.23	08:55:00	66013	66047	65962	66018	2043	0	19
2025.12.23	09:00:00	66018	66041	65981	66006	2184	0	20
2025.12.23	09:05:00	66008	66032	65984	65991	1507	0	19
2025.12.23	09:10:00	65993	66026	65985	66023	1518	0	19
2025.12.23	09:15:00	66027	66065	66010	66042	1548	0	19
2025.12.23	09:20:00	66038	66052	66006	66023	1658	0	20
2025.12.23	09:25:00	66027	66050	65949	66035	1575	0	20
2025.12.23	09:30:00	66025	66071	65984	66034	1277	0	19
2025.12.23	09:35:00	66036	66051	66003	66050	1634	0	19
2025.12.23	09:40:00	66047	66054	65921	66021	1652	0	19
2025.12.23	09:45:00	66023	66065	65954	66058	1928	0	11
2025.12.23	09:50:00	66056	66083	65944	66062	1924	0	19
2025.12.23	09:55:00	66062	66066	65996	66002	2088	0	12
2025.12.23	10:00:00	66003	66045	65906	66014	2122	0	19
2025.12.23	10:05:00	66012	66040	65921	66021	1555	0	9
2025.12.23	10:10:00	65968	66064	65964	66032	1706	0	20
2025.12.23	10:15:00	66034	66060	65952	66027	1493	0	19
2025.12.23	10:20:00	66029	66084	65939	66067	1315	0	12
2025.12.23	10:25:00	66065	66077	65952	66026	1712	0	20
2025.12.23	10:30:00	66028	66061	65905	66058	1738	0	9
2025.12.23	10:35:00	66052	66075	65975	66066	1640	0	19
2025.12.23	10:40:00	66024	66092	65971	66085	1662	0	19
2025.12.23	10:45:00	66000	66108	65999	66057	2110	0	12
2025.12.23	10:50:00	66055	66089	65967	66065	1467	0	19
2025.12.23	10:55:00	66063	66090	66048	66077	1335	0	19
2025.12.23	11:00:00	66075	66094	65991	66009	1684	0	19
2025.12.23	11:05:00	66011	66015	65928	65968	1787	0	20
2025.12.23	11:10:00	65966	65984	65834	65931	1782	0	10
2025.12.23	11:15:00	65931	65970	65855	65970	1932	0	9
2025.12.23	11:20:00	65974	65988	65893	65973	1649	0	11
2025.12.23	11:25:00	65982	65986	65898	65945	1936	0	19
2025.12.23	11:30:00	65958	65987	65883	65948	1386	0	19
2025.12.23	11:35:00	65893	65958	65862	65957	1074	0	10
2025.12.23	11:40:00	65959	65995	65919	65960	1398	0	19
2025.12.23	11:45:00	65957	65988	65866	65948	1512	0	9
2025.12.23	11:50:00	65915	65956	65846	65940	1589	0	9
2025.12.23	11:55:00	65936	65953	65842	65931	1534	0	11
2025.12.23	12:00:00	65933	65971	65834	65966	1113	0	19
2025.12.23	12:05:00	65960	65986	65875	65953	1356	0	9
2025.12.23	12:10:00	65951	65987	65874	65967	1325	0	9
2025.12.23	12:15:00	65982	65985	65868	65973	1255	0	9
2025.12.23	12:20:00	65975	65997	65864	65974	1391	0	11
2025.12.23	12:25:00	65953	66014	65883	65974	1128	0	9
2025.12.23	12:30:00	65989	65992	65845	65956	1507	0	10
2025.12.23	12:35:00	65966	65969	65884	65944	1117	0	14
2025.12.23	12:40:00	65949	65958	65832	65928	865	0	12
2025.12.23	12:45:00	65926	65956	65865	65931	1125	0	19
2025.12.23	12:50:00	65857	65983	65857	65962	1399	0	19
2025.12.23	12:55:00	65888	65979	65860	65943	2415	0	19
2025.12.23	13:00:00	65955	65971	65863	65943	1476	0	12
2025.12.23	13:05:00	65941	65974	65850	65953	1762	0	19
2025.12.23	13:10:00	65958	65968	65853	65945	1537	0	9
2025.12.23	13:15:00	65911	65979	65868	65968	929	0	12
2025.12.23	13:20:00	65964	65971	65853	65943	809	0	9
2025.12.23	13:25:00	65941	65955	65926	65947	543	0	10
2025.12.23	13:30:00	65949	65968	65851	65936	646	0	9
2025.12.23	13:35:00	65923	65985	65854	65979	905	0	10
2025.12.23	13:40:00	65981	66040	65915	66032	1393	0	19
2025.12.23	13:45:00	66036	66050	65933	66026	1391	0	19
2025.12.23	13:50:00	66028	66083	65998	66072	1939	0	13
2025.12.23	13:55:00	66069	66100	65969	66077	2287	0	9
2025.12.23	14:00:00	66084	66088	65964	66039	1236	0	16
2025.12.23	14:05:00	66043	66046	65937	66002	1529	0	11
2025.12.23	14:10:00	66017	66022	65953	65976	1431	0	12
2025.12.23	14:15:00	65933	65993	65919	65964	801	0	12
2025.12.23	14:20:00	65932	65985	65855	65971	835	0	14
2025.12.23	14:25:00	65986	65988	65877	65978	838	0	11
2025.12.23	14:30:00	65976	65986	65881	65962	1662	0	12
2025.12.23	14:35:00	65972	66005	65877	65983	1693	0	12
2025.12.23	14:40:00	65996	66006	65890	65984	1990	0	11
2025.12.23	14:45:00	65984	66003	65894	65985	1304	0	12
2025.12.23	14:50:00	65905	66037	65905	66005	1598	0	15
2025.12.23	14:55:00	65924	66024	65916	65986	1305	0	16
2025.12.23	15:00:00	65983	66092	65980	66090	3011	0	14
2025.12.23	15:05:00	66078	66101	65965	66056	2990	0	19
2025.12.23	15:10:00	66054	66094	65989	66091	2461	0	19
2025.12.23	15:15:00	66106	66146	65989	66116	2710	0	11
2025.12.23	15:20:00	66117	66120	65915	66047	2670	0	11
2025.12.23	15:25:00	66045	66062	65916	66029	1775	0	11
2025.12.23	15:30:00	66018	66097	65972	66084	2498	0	19
2025.12.23	15:35:00	66020	66090	65965	66028	3498	0	16
2025.12.23	15:40:00	66025	66069	65990	66055	3227	0	19
2025.12.23	15:45:00	66010	66077	65976	66025	2798	0	12
2025.12.23	15:50:00	65949	66038	65790	65928	4217	0	19
2025.12.23	15:55:00	65928	65947	65805	65920	3280	0	11
2025.12.23	16:00:00	65925	65948	65791	65820	3329	0	11
2025.12.23	16:05:00	65823	65849	65563	65805	4333	0	19
2025.12.23	16:10:00	65803	65846	65776	65816	2997	0	19
2025.12.23	16:15:00	65818	65833	65659	65801	3356	0	19
2025.12.23	16:20:00	65799	65866	65743	65762	2556	0	19
2025.12.23	16:25:00	65760	65812	65691	65751	2605	0	13
2025.12.23	16:30:00	65753	65772	65557	65669	5468	0	19
2025.12.23	16:35:00	65667	65691	65527	65679	4502	0	20
2025.12.23	16:40:00	65677	65685	65499	65577	4501	0	20
2025.12.23	16:45:00	65578	65656	65546	65597	4442	0	19
2025.12.23	16:50:00	65595	65678	65561	65583	4233	0	19
2025.12.23	16:55:00	65585	65638	65376	65497	4268	0	19
2025.12.23	17:00:00	65495	65565	65269	65319	5331	0	19
2025.12.23	17:05:00	65315	65458	65268	65429	4902	0	19
2025.12.23	17:10:00	65430	65525	65375	65494	5125	0	19
2025.12.23	17:15:00	65490	65542	65456	65496	3674	0	19
2025.12.23	17:20:00	65496	65521	65363	65473	3782	0	19
2025.12.23	17:25:00	65464	65514	65366	65419	4182	0	19
2025.12.23	17:30:00	65417	65502	65387	65488	3940	0	19
2025.12.23	17:35:00	65476	65627	65444	65622	3797	0	19
2025.12.23	17:40:00	65627	65669	65568	65609	3642	0	11
2025.12.23	17:45:00	65604	65676	65566	65641	2958	0	18
2025.12.23	17:50:00	65639	65654	65579	65593	2846	0	19
2025.12.23	17:55:00	65591	65670	65548	65657	2961	0	12
2025.12.23	18:00:00	65655	65688	65624	65644	2284	0	19
2025.12.23	18:05:00	65619	65692	65557	65671	2587	0	20
2025.12.23	18:10:00	65659	65744	65652	65709	2748	0	19
2025.12.23	18:15:00	65712	65730	65605	65711	2424	0	12
2025.12.23	18:20:00	65714	65757	65685	65735	2405	0	19
2025.12.23	18:25:00	65680	65768	65669	65719	2302	0	15
2025.12.23	18:30:00	65717	65737	65631	65702	3016	0	16
2025.12.23	18:35:00	65700	65737	65644	65722	2515	0	19
2025.12.23	18:40:00	65722	65777	65706	65761	2420	0	11
2025.12.23	18:45:00	65761	65826	65661	65815	2314	0	15
2025.12.23	18:50:00	65807	65900	65804	65888	2519	0	19
2025.12.23	18:55:00	65888	65914	65828	65884	2500	0	11
2025.12.23	19:00:00	65884	65948	65837	65924	2792	0	19
2025.12.23	19:05:00	65925	65947	65840	65890	2673	0	19
2025.12.23	19:10:00	65888	65912	65786	65879	2042	0	19
2025.12.23	19:15:00	65881	65884	65769	65864	2208	0	19
2025.12.23	19:20:00	65866	65914	65846	65857	2143	0	19
2025.12.23	19:25:00	65848	65932	65820	65918	1948	0	19
2025.12.23	19:30:00	65899	65924	65868	65889	2875	0	19
2025.12.23	19:35:00	65891	65921	65826	65911	2710	0	19
2025.12.23	19:40:00	65922	65953	65893	65933	2354	0	19
2025.12.23	19:45:00	65929	65939	65807	65891	2301	0	19
2025.12.23	19:50:00	65889	65900	65781	65836	2670	0	20
2025.12.23	19:55:00	65832	65872	65820	65860	1811	0	19
2025.12.23	20:00:00	65860	65895	65829	65870	1818	0	19
2025.12.23	20:05:00	65875	65944	65833	65920	2168	0	19
2025.12.23	20:10:00	65920	65978	65823	65922	2112	0	20
2025.12.23	20:15:00	65911	65919	65825	65900	1494	0	20
2025.12.23	20:20:00	65898	65927	65848	65920	1831	0	19
2025.12.23	20:25:00	65922	65946	65869	65927	1897	0	19
2025.12.23	20:30:00	65925	65936	65868	65876	1771	0	19
2025.12.23	20:35:00	65873	65893	65820	65877	1265	0	19
2025.12.23	20:40:00	65877	65908	65833	65895	1049	0	20
2025.12.23	20:45:00	65903	65935	65873	65927	1176	0	19
2025.12.23	20:50:00	65923	65951	65903	65920	1296	0	19
2025.12.23	20:55:00	65922	66015	65915	66004	2220	0	19
2025.12.23	21:00:00	66002	66134	65998	66121	2399	0	19
2025.12.23	21:05:00	66121	66135	66051	66093	2276	0	19
2025.12.23	21:10:00	66095	66159	66003	66103	1774	0	20
2025.12.23	21:15:00	66112	66116	66002	66080	1536	0	19
2025.12.23	21:20:00	66080	66089	65971	66060	1342	0	19
2025.12.23	21:25:00	66015	66104	65990	66072	1537	0	19
2025.12.23	21:30:00	66082	66098	66026	66083	1183	0	19
2025.12.23	21:35:00	66081	66120	66001	66096	1313	0	19
2025.12.23	21:40:00	66096	66139	66017	66118	1567	0	20
2025.12.23	21:45:00	66116	66116	66052	66061	1198	0	19
2025.12.23	21:50:00	66073	66089	65998	66087	1055	0	19
2025.12.23	21:55:00	66085	66103	66064	66082	862	0	19
2025.12.23	22:00:00	66085	66125	66050	66110	1517	0	19
2025.12.23	22:05:00	66115	66175	66070	66171	1321	0	20
2025.12.23	22:10:00	66114	66187	66106	66171	1441	0	19
2025.12.23	22:15:00	66161	66178	66111	66175	1164	0	20
2025.12.23	22:20:00	66162	66174	66092	66150	910	0	19
2025.12.23	22:25:00	66148	66166	66101	66133	1315	0	20
2025.12.23	22:30:00	66131	66150	66058	66128	1308	0	20
2025.12.23	22:35:00	66128	66135	66057	66091	1267	0	19
2025.12.23	22:40:00	66087	66139	66048	66117	1508	0	20
2025.12.23	22:45:00	66128	66152	66076	66149	1181	0	20
2025.12.23	22:50:00	66138	66156	66076	66139	1773	0	20
2025.12.23	22:55:00	66116	66224	66082	66179	1813	0	19
2025.12.23	23:00:00	66185	66212	66073	66121	1263	0	19
2025.12.23	23:05:00	66070	66125	65999	66090	698	0	20
2025.12.23	23:10:00	66097	66108	66004	66099	593	0	22
2025.12.23	23:15:00	66012	66113	66007	66100	565	0	21
2025.12.23	23:20:00	66100	66114	66085	66113	298	0	22
2025.12.23	23:25:00	66110	66112	66033	66074	415	0	20
2025.12.23	23:30:00	66075	66102	65990	66075	364	0	24
2025.12.23	23:35:00	66088	66100	65967	66073	1012	0	23
2025.12.23	23:40:00	66035	66084	65984	66060	1018	0	49
2025.12.23	23:45:00	66070	66080	65940	66043	676	0	33
2025.12.23	23:50:00	66035	66046	65932	66017	461	0	77
2025.12.23	23:55:00	65997	66020	65874	65907	655	0	106
2025.12.24	00:00:00	65964	65964	65962	65962	5	0	123
2025.12.24	00:05:00	65962	65992	65928	65928	38	0	110
2025.12.24	00:10:00	65928	65971	65928	65928	53	0	110
2025.12.24	00:15:00	65928	65949	65886	65888	21	0	110
2025.12.24	00:20:00	65928	65971	65888	65888	17	0	110
2025.12.24	00:25:00	65928	65971	65888	65888	18	0	110
2025.12.24	00:30:00	65941	65992	65888	65888	28	0	110
2025.12.24	00:35:00	65928	65971	65888	65888	37	0	110
2025.12.24	00:40:00	65949	65960	65886	65886	15	0	110
2025.12.24	00:45:00	65928	65971	65875	65894	25	0	110
2025.12.24	00:50:00	65930	65971	65884	65926	52	0	110
2025.12.24	00:55:00	65928	65992	65884	65915	51	0	110
2025.12.24	01:00:00	65949	66025	65943	66025	10	0	100
2025.12.24	01:05:00	66007	66018	65965	66018	6	0	109
2025.12.24	01:10:00	66020	66031	65944	66020	198	0	47
2025.12.24	01:15:00	66041	66041	65923	65999	34	0	13
2025.12.24	01:20:00	66018	66039	65923	66007	15	0	14
2025.12.24	01:25:00	65986	66050	65923	66016	16	0	16
2025.12.24	01:30:00	66007	66050	65923	66010	28	0	12
2025.12.24	01:35:00	66039	66039	65923	66010	31	0	14
2025.12.24	01:40:00	65999	66039	65997	66010	34	0	31
2025.12.24	01:45:00	66007	66020	65923	66010	20	0	34
2025.12.24	01:50:00	66027	66037	65944	66005	31	0	22
2025.12.24	01:55:00	66012	66031	65999	66010	42	0	22
2025.12.24	02:00:00	66007	66012	65901	66003	43	0	22
2025.12.24	02:05:00	66345	66371	66236	66359	1395	0	19
2025.12.24	02:10:00	66376	66376	66218	66301	1053	0	9
2025.12.24	02:15:00	66299	66349	66220	66335	1120	0	12
2025.12.24	02:20:00	66337	66370	66223	66333	1288	0	11
2025.12.24	02:25:00	66345	66393	66259	66384	1778	0	19
2025.12.24	02:30:00	66386	66414	66348	66367	1580	0	11
2025.12.24	02:35:00	66270	66403	66252	66392	1302	0	19
2025.12.24	02:40:00	66392	66427	66319	66422	2099	0	10
2025.12.24	02:45:00	66424	66427	66319	66403	1588	0	10
2025.12.24	02:50:00	66392	66411	66304	66358	1710	0	12
2025.12.24	02:55:00	66346	66418	66279	66346	2077	0	19
2025.12.24	03:00:00	66344	66462	66262	66382	3793	0	19
2025.12.24	03:05:00	66382	66462	66314	66408	3714	0	19
2025.12.24	03:10:00	66424	66438	66313	66330	2627	0	19
2025.12.24	03:15:00	66321	66387	66294	66328	2251	0	19
2025.12.24	03:20:00	66330	66468	66277	66448	2870	0	20
2025.12.24	03:25:00	66456	66495	66398	66404	3367	0	10
2025.12.24	03:30:00	66406	66451	66387	66435	2297	0	20
